year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,
2009,22.2,24.3,25.9,24.2,27.7,25.8,23.7,23.1,23.6,24.3,24.2,22.3,,,,,,,
2010,25.3,29.5,31.9,26.7,29.6,29.2,27.6,28.4,27.7,27.2,29.3,25.1,,,,,,,
2011,27.4,31.1,34.4,26.4,32.4,32,29.6,31.5,29.9,29.6,31.8,26.8,,,,,,,
2012,31.4,34.2,33.6,27.7,34.2,28,29.2,31.9,28.1,32.9,30.7,24.3,,,,,,,
2013,31.5,31.8,29.4,30.8,33.4,27.2,30.7,31,28.1,31.9,30.7,26,,,,,,,
2014,32.2,33.3,32.4,30.5,34.4,30.4,31.3,29,29.2,31.8,29,26.3,,,,,,,
2015,30.5,31.6,34,29.3,31.1,29.2,30.7,28.2,29.2,29.7,30.4,28.9,,,,,,,
2016,31.5,34,33.3,35.3,35.5,32.2,30.7,34,31.2,31.5,33.7,28.3,,,,,,,
2017,35.3,36.6,39.5,30.6,38.2,33.5,33,35.1,30.7,35.5,34.9,28.7,,,,,,,
2018,37.9,36.6,36.3,34,37.9,33.2,34.1,35.9,31.9,37.4,35.8,28.4,,,,,,,
2019,39,37.3,36.8,32.9,38.8,33.2,37.7,36.4,33.3,31.9,29,23.7,,,,,,,
2020,30.7,30.5,26.5,17.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
