year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2009,0.8,0.6,0.8,1.3,11.8,56.8,137.6,51.3,7.5,1.9,1.2,0.8
2010,0.7,0.6,0.8,1.2,1,1.4,3.4,11.1,22.6,9.8,4.3,4.3
2011,4,3.8,4.1,3,4,11.6,25.3,34.4,18.6,7.7,3.4,2
2012,1.4,1.6,2.7,2.5,5.1,24.5,61.3,62.8,20.7,6.2,4.5,2.9
2013,3.1,3.2,3.7,2.7,3.4,4.7,12.6,33.3,27.8,12.8,8.6,6.5
2014,6,4.9,5.3,4.5,5.6,9.4,42.3,114.2,69.4,16.3,5.6,4.8
2015,5.2,5.6,8.3,9.3,10.6,21.1,55.8,164.6,113.7,19.9,5,3.3
2016,4.8,8.1,11,10.1,8.5,11.7,37.4,121.7,100.1,35,16.7,10.6
2017,11.2,11.2,11.4,7.9,13.4,31.7,135.1,404.6,308.9,64.3,13.7,8.3
2018,15,13.9,12.7,7.9,6.9,8,15.9,32.7,46,29.3,22.2,25.1
2019,27.3,28.7,44.9,74.8,122.3,231.9,280.4,244.3,134.1,33,14.9,17.3
2020,27.9,28.7,23.6,1.2,,,,,,,,
